0, 0, 0, -0.002594, -0.000916, -89.998047
1, 0, -1, -0.200127, -0.147446, -89.963196
1, -1, -1, -0.151360, -0.108871, -89.973938
2, -1, -1, 0.396935, -0.003342, -89.948730
2, -1, -2, 0.208313, -0.039520, -89.950317
3, -1, -2, 0.928619, 0.073837, -89.959106
3, -1, -3, 0.695511, 0.033524, -89.933533
4, -1, -3, 1.422661, 0.140320, -89.913696
4, 0, -4, 1.129280, 0.131088, -89.875244
4, 0, -4, 1.254349, 0.103607, -89.849243
5, 0, -5, 1.905975, 0.214325, -89.827332
5, 0, -5, 1.639221, 0.202911, -89.792419
5, 1, -6, 1.795830, 0.129440, -89.819641
5, 1, -6, 1.700211, 0.172455, -89.822083
6, 1, -7, 2.358597, 0.232056, -89.773743
6, 2, -8, 2.088753, 0.088287, -89.743835
6, 2, -8, 2.210442, 0.095627, -89.770691
6, 3, -9, 2.140419, -0.127411, -89.756226
6, 3, -9, 2.122917, -0.078369, -89.756470
6, 4, -10, 2.108788, -0.415878, -89.729614
6, 5, -10, 2.215500, -0.479584, -89.907898
6, 5, -11, 2.062622, -0.563568, -89.719666
5, 6, -11, 1.531067, -1.064270, -89.699707
5, 7, -12, 1.682411, -1.368103, -89.631531
5, 7, -12, 1.580971, -1.258606, -89.672546
5, 8, -13, 1.589317, -1.832932, -89.619385
4, 9, -13, 0.929970, -2.154877, -89.740234
4, 10, -13, 1.037613, -2.662933, -89.583435
3, 11, -14, 0.267044, -3.052307, -89.584595
3, 11, -14, 0.520805, -2.916122, -89.594116
2, 12, -14, -0.279808, -3.550079, -89.547852
1, 13, -14, -0.580276, -4.040436, -89.596924
1, 14, -14, -0.586487, -4.503830, -89.452271
0, 15, -14, -1.147354, -5.096039, -89.411011
-1, 15, -14, -1.355766, -4.870575, -89.461121
-2, 16, -14, -1.845848, -5.563278, -89.373718
-3, 17, -14, -2.044670, -6.051483, -89.419739
-4, 18, -14, -2.353401, -6.615433, -89.305054
-5, 19, -14, -2.558281, -7.071854, -89.209106
-6, 19, -14, -2.564804, -6.873627, -89.223267
-7, 20, -13, -2.866302, -7.644272, -89.101074
-8, 21, -13, -2.906677, -7.917618, -89.207275
-9, 21, -12, -2.866936, -7.661102, -89.217407
-10, 22, -12, -3.292458, -8.558380, -88.908081
-11, 22, -11, -3.256378, -8.332962, -88.924744
-12, 23, -10, -3.470543, -9.017624, -88.801941
-13, 23, -10, -3.428825, -8.819504, -88.828918
-15, 23, -9, -3.471542, -8.790924, -88.828674
-16, 24, -8, -3.736374, -9.645065, -88.643921
-17, 24, -7, -3.627495, -9.363525, -88.690491
-18, 24, -6, -3.660141, -9.338226, -88.691345
-19, 24, -5, -3.690453, -9.300644, -88.717224
-20, 24, -4, -3.716949, -9.320496, -88.730713
-22, 24, -3, -3.772278, -9.235275, -88.719360
-23, 24, -2, -3.851799, -9.176941, -88.719177
-24, 24, 0, -4.078766, -9.089005, -88.556519
-25, 24, 1, -4.250893, -9.006577, -88.716492
-26, 24, 2, -4.612488, -8.942978, -88.798401
-27, 23, 4, -4.862144, -7.923401, -88.812622
-28, 23, 5, -5.152626, -7.959030, -88.792542
-28, 22, 6, -5.230423, -7.152802, -88.946350
-29, 21, 8, -5.845749, -6.015335, -89.062195
-29, 20, 9, -5.977570, -5.551865, -89.019043
-29, 19, 10, -6.134453, -4.801025, -89.167236
-29, 18, 12, -6.878128, -3.809402, -89.136780
-30, 17, 13, -6.863770, -3.076767, -89.256775
-30, 15, 14, -6.830833, -1.760681, -89.354431
-30, 14, 15, -7.119316, -1.315369, -89.316711
-30, 13, 17, -7.970032, -0.077469, -89.360229
-29, 12, 18, -7.932480, 0.647751, -89.485107
-29, 10, 19, -8.034813, 1.714615, -89.382812
-29, 9, 20, -8.374374, 2.313828, -89.368469
-29, 8, 21, -8.699867, 2.916931, -89.332214
-28, 6, 22, -8.923576, 3.928085, -89.347839
-28, 5, 23, -9.175362, 4.270866, -89.295776
-27, 4, 24, -9.599884, 4.825867, -89.227112
-27, 2, 24, -9.357452, 4.719276, -89.284363
-26, 1, 25, -9.892921, 5.379204, -89.183960
-25, 0, 26, -10.271416, 5.840370, -89.143494
-25, -2, 26, -10.125328, 5.705582, -89.095032
-24, -3, 27, -10.668854, 6.353195, -89.020508
-23, -4, 28, -11.098778, 6.790504, -88.902527
-22, -6, 28, -10.952484, 6.647942, -88.914917
-21, -7, 28, -10.998276, 6.657486, -88.913330
-20, -8, 29, -11.493340, 7.281120, -88.646240
-19, -10, 29, -11.316101, 7.095963, -88.684448
-18, -11, 29, -11.353508, 7.100441, -88.659058
-17, -12, 30, -11.853333, 7.775734, -88.533386
-16, -14, 30, -11.629814, 7.579315, -88.585266
-15, -15, 30, -11.741432, 7.579742, -88.553650
-14, -16, 30, -11.621857, 7.598824, -88.595764
-12, -17, 30, -11.561424, 7.679947, -88.660461
-11, -18, 29, -10.975143, 7.312988, -88.644165
-10, -19, 29, -10.951462, 7.517532, -88.636047
-8, -20, 29, -10.519524, 7.855705, -88.689270
-7, -21, 28, -9.872597, 7.392097, -88.813416
-6, -22, 28, -9.831993, 7.687996, -88.739502
-4, -23, 28, -9.108345, 8.183922, -88.741943
-3, -24, 27, -8.378151, 7.657455, -88.976440
-2, -25, 26, -7.723022, 7.426888, -89.036072
0, -25, 26, -6.876701, 8.280975, -89.039307
1, -26, 25, -6.207474, 7.787498, -89.062256
2, -27, 24, -5.441902, 7.522797, -89.101440
4, -27, 24, -4.391304, 8.543633, -89.081299
5, -28, 23, -3.706650, 8.001930, -89.068970
6, -28, 22, -2.942993, 7.737854, -89.032837
8, -29, 21, -1.503365, 7.864410, -88.967468
9, -29, 20, -0.932724, 7.568138, -88.940674
10, -29, 19, -0.204323, 7.309731, -88.954529
12, -29, 18, 1.241501, 7.535255, -88.931641
13, -30, 17, 1.843201, 7.192116, -88.790222
14, -30, 15, 3.125870, 6.320526, -88.914917
15, -30, 14, 3.693558, 6.280090, -88.730225
17, -30, 13, 5.382019, 6.505165, -88.632324
18, -29, 12, 5.808380, 6.132828, -88.413574
19, -29, 10, 7.025208, 5.367027, -88.295654
20, -29, 9, 7.566025, 5.402092, -88.298340
21, -29, 8, 8.464455, 5.228539, -88.092224
22, -28, 6, 9.357277, 4.735115, -87.928162
23, -28, 5, 10.032463, 4.740479, -87.819946
23, -28, 5, 9.856750, 4.680023, -87.842896
23, -28, 5, 9.888702, 4.637009, -87.873413
23, -29, 5, 9.850723, 4.618393, -87.878601
24, -29, 5, 10.496651, 4.937515, -87.711609
24, -29, 5, 10.385353, 4.781395, -87.710449
24, -29, 5, 10.407249, 4.810532, -87.718994
24, -30, 5, 10.375252, 4.795372, -87.718933
24, -30, 6, 10.241249, 5.041122, -87.702576
25, -30, 6, 10.927017, 5.513344, -87.570496
25, -30, 6, 10.781792, 5.321564, -87.580383
25, -31, 6, 10.821098, 5.291435, -87.542175
25, -31, 6, 10.844040, 5.210892, -87.545349
25, -31, 6, 10.764427, 5.246956, -87.585144
26, -31, 6, 11.432678, 5.755379, -87.463440
26, -32, 6, 11.322914, 5.559982, -87.429016
26, -32, 6, 11.341232, 5.550339, -87.418152
26, -32, 6, 11.322144, 5.515938, -87.427612
27, -33, 6, 11.907433, 6.073631, -87.252502
27, -33, 6, 11.898338, 5.920296, -87.242920
27, -33, 6, 11.883499, 5.847176, -87.242493
27, -33, 6, 11.850243, 5.832481, -87.242676
27, -34, 6, 11.846809, 5.871689, -87.250366
28, -34, 6, 12.437187, 6.386879, -87.079224
28, -34, 6, 12.361748, 6.214706, -87.076782
28, -34, 6, 12.392448, 6.162987, -87.070435
28, -35, 6, 12.383827, 6.144760, -87.072937
28, -35, 6, 12.320938, 6.181313, -87.081421
29, -35, 6, 13.041908, 6.754967, -86.906616
29, -35, 7, 12.745735, 6.932884, -86.919495
29, -36, 7, 12.765945, 6.841217, -86.942200
29, -36, 7, 12.741432, 6.809860, -86.960632
30, -36, 7, 13.268669, 7.403587, -86.780884
30, -36, 7, 13.297821, 7.176735, -86.769897
30, -36, 7, 13.260696, 7.207848, -86.783569
30, -36, 7, 13.265076, 7.139999, -86.769226
30, -36, 7, 13.223274, 7.174675, -86.774292
30, -36, 7, 13.247414, 7.131287, -86.771179
30, -36, 7, 13.209991, 7.143578, -86.738159
30, -36, 7, 13.235825, 7.121758, -86.772522
30, -36, 7, 13.234795, 7.112747, -86.770508
28, -37, 9, 11.172539, 7.618805, -87.129944
26, -38, 11, 9.584412, 7.992409, -87.430298
25, -38, 13, 8.635658, 8.881981, -87.521851
23, -38, 16, 6.449181, 9.312584, -87.745728
21, -38, 18, 4.592583, 10.197258, -87.925720
19, -39, 20, 2.862595, 10.727081, -88.149658
17, -38, 22, 1.423393, 11.199005, -88.188843
14, -38, 24, -0.425613, 11.589722, -88.357178
12, -38, 26, -2.315567, 11.859428, -88.297791
10, -37, 27, -3.296181, 11.430992, -88.459351
8, -37, 29, -5.253685, 12.164520, -88.094971
5, -36, 30, -6.186729, 11.668282, -88.254700
3, -35, 32, -8.211426, 12.238182, -88.045898
1, -34, 33, -8.946823, 11.960464, -88.057922
-2, -32, 34, -10.013176, 11.966316, -88.011658
-4, -31, 35, -10.965866, 11.979836, -87.898193
-6, -30, 36, -11.544701, 12.100441, -87.790039
-9, -28, 37, -12.120056, 12.158875, -87.640198
-11, -27, 37, -12.003166, 11.893951, -87.676575
-13, -25, 38, -12.780426, 12.241020, -87.517639
-15, -23, 38, -12.610184, 12.052917, -87.552246
-17, -21, 38, -12.688774, 11.964172, -87.553467
-20, -19, 39, -13.407784, 12.461739, -87.376526
-22, -17, 38, -12.834633, 11.769043, -87.545471
-23, -15, 38, -13.003555, 11.873421, -87.522095
-25, -13, 38, -12.930252, 11.858200, -87.520569
-27, -10, 37, -12.502907, 11.153313, -87.699036
-29, -8, 37, -12.728905, 11.220695, -87.670410
-30, -6, 36, -12.137115, 10.476425, -87.839661
-32, -3, 35, -11.923836, 9.704224, -87.959656
-33, -1, 34, -11.671951, 8.979355, -88.078857
-34, 1, 33, -11.497490, 8.215324, -88.205994
-35, 4, 31, -10.602600, 6.765030, -88.388184
-36, 6, 30, -10.770439, 5.900558, -88.635681
-37, 8, 28, -10.190651, 4.261826, -88.754578
-37, 11, 27, -10.447487, 3.166229, -88.697388
-38, 13, 25, -9.825775, 1.278778, -88.718872
-38, 15, 23, -9.257843, -0.345627, -88.678528
-38, 17, 21, -8.761169, -1.875931, -88.648071
-39, 19, 19, -8.312340, -3.472290, -88.641663
-39, 19, 19, -8.432640, -2.767929, -88.676453
-39, 19, 19, -8.394768, -2.712357, -88.680725
-39, 19, 19, -8.447983, -2.730453, -88.677124
-39, 19, 19, -8.412186, -2.739609, -88.678711
-39, 19, 19, -8.435303, -2.749252, -88.677429
-39, 19, 19, -8.412560, -2.731583, -88.682251
-39, 19, 19, -8.429810, -2.753815, -88.680908
-39, 19, 19, -8.418907, -2.743515, -88.707458
